Id,Title,ISBN,ISBN13,Edition,Publisher,Pages,Setting/bg,Setting/yr,Language,Awards,Published,First Published,Cover,Auther,Genres,Sub-Genres,Series,Series #
400291830,My Sister's Keeper,743454537,9.78074E+12,,Washington Square Press,423,Rhode Island (US),,English,2,2005,2004,Paperback,Jodi Picoult,Drama; Contemporary; Womens Fiction,,,
419284023,American Gods,747263744,9.78075E+12,,Headline Review,656,(US),,English,,2005,2001,Mass Market Paperback,Neil Gaiman,Fantasy,Mythology; Urban Fantasy,American Gods,1
399201938,Divergent,62024035,9.78006E+12,,Katherine Tegen Books,487,Illinois (US),,English,,2002,2001,Paperback,Veronica Roth,Young Adult; Fantasy; Sci-fi; Romance,Dystopia,Divergent,1
200059102,The Return of the King,345339738,9.78035E+12,,Del Rey,490,Middle-earth,,English,2,2003,1955,Mass Market Paperback,J.R.R. Tolkien,Classics; Fantasy; Adventure,Epic Fantasy,The Lord of the Rings; Middle-Earth Universe,3
400129385,The Perks of Being a Wallflower,671027344,9.78067E+12,,MTV Books and Pocket Books,213,Pennsylvania (US),,English,,1999,1999,Paperback,Stephen Chbosky,Young Adult; Romance; Contemporary; Realistic Fiction,,,
418830107,The Joy Luck Club,143038095,9.78014E+12,,Penguin,288,California (US),,English,3,2006,1989,Paperback,Amy Tan,Cultural; Historical Fiction; Classics,China,,
187793025,Great Expectations,192833596,9.78019E+12,,Oxford University Press,505,,,English,,1998,1861,Paperback,Charles Dickens,Classics; Literature; Historical Fiction; Academic,School,,
333920198,Atonement,038572179X,9.78039E+12,,Anchor,351,(UK),1934,English,4,2003,2001,Paperback,Ian McEwan,Classics; Romance; Contemporary; Historical Fiction,,,
683929108,New Moon,316160199,9.78032E+12,1st,Little; Brown and Company,565,Washington (US),,English,4,2006,2006,Hardcover,Stephenie Meyer,Young Adult; Romance; Fantasy; Realistic Fiction; Paranormal,Vampires,Twilight,2
510299111,Extremely Loud and Incredibly Close,618711651,9.78062E+12,,Mariner Books,326,New York (US),2003,English,2,2006,2005,Paperback,Jonathan Safran Foer,Contemporary,,,
519283016,Never Let Me Go,1400078776,9.7814E+12,,Vintage Books,288,,,English,1,2010,2005,Paperback,Kazuo Ishiguro,Sci-fi; Contemporary; Adult,,,
512778399,Fight Club,393327345,9.78039E+12,,W.W. Norton & Company,224,(US),,English,,2005,1996,Paperback,Chuck Palahniuk,Thriller; Contemporary; Adult,,,
392881084,The Bell Jar,61148512,9.78006E+12,,Harper Perennial Modern Classics,288,(US),,English,,2006,1963,Paperback,Sylvia Plath,Classics; Psychology; Feminism,,,
128392735,The Count of Monte Cristo,140449264,9.78014E+12,,Penguin,1276,(France),1815,English,,2003,1844,Paperback,Alexandre Dumas,Classics; Historical Fiction; Literature; Adventure; Cultural,France,The Count of Monte Cristo,
592820001,The Guernsey Literary and Potato Peel Pie Society,385340990,9.78039E+12,,The Dial Press,274,Guernsey (UK),,English,1,2008,2007,Hardcover,Mary Ann Shaffer; Annie Barrows,Historical Fiction; War; Romance; Adult,,,
127838106,Anna Karenina,345803922,9.78035E+12,,Vintage Books,964,(Russia),,English,,2012,1877,Paperback,Leo Tolstoy,Classics; Literature; Cultural; Romance,Russia,,
563266727,The Night Circus,385534639,9.78039E+12,,Doubleday,387,,,English,3,2011,2011,Hardcover,Erin Morgenstern,Fantasy; Romance,Magic ,,
